"DateTime","Action","Asset","AssetType","Quantity","Price","NotionalValue","Rationale","RowHash","","","","","","","","","","","","","","",""
"2025-09-18T14:19:22Z","Buy","NASDAQ:APP","Stock",2,620.97,1241.94,"Increase allocation","8d96cf3b1b341c6e059b6361880b1b6d95c77ffbe911ac04ca8bce9550a9707f","","","","","","","","","","","","","","",""
"2025-09-18T15:1:00Z","Buy","NASDAQ:QQQ","Short Stock",10,581.81,5818.099999999999,"Close precautionary hedge against potential NDX decline","9891f74568a033650ba9f0f34644228a23a602b5a3d84e41d8d41f3a865c08fb","","NASDAQ:TMDX","Stock",18,109.11,1963.98,"Increase allocation","2025-09-09T14:07:00Z","Buy","NASDAQ:TMDX","Stock",18,109.11,1963.98,"Increase allocation"
"2025-09-16T14:25:00Z","Sell","NASDAQ:PRCH","Stock",-221,17.37,-3838.7700000000004,"Reduce allocation","0655abd2e409535b6e4290dd9a75336b36c2e0ea2c9ba95647d09e4b961cdb2f","","","","","","","","","","","","","","",""
"2025-09-16T14:17:00Z","Sell","NASDAQ:APP","Stock",-9,593.89,-5345.01,"Reduce allocation","bb156e0b26710346629e12105600bf3100ca6bc09973d1692d0928668dca6aa0","","","","","","","","","","","","","","",""
"2025-09-16T14:09:00Z","Sell","NYSE:HL","Stock",-587,11.66,-6844.42,"Reduce allocation","a6c1152f8cb81004f47c8bc5a52b507cfe13af27e91585fd82284c1dd066d59d","","","","","","","","","","","","","","",""
"2025-09-16T13:51:00Z","Sell","NASDAQ:STX","Stock",-30,213.69,-6410.7,"Reduce allocation","985dc87e62077c287e9e712dde14a443c791b5438718205c610940b5875682c1","","","","","","","","","","","","","","",""
"2025-09-16T13:47:00Z","Buy","NASDAQ:IBKR","Stock",60,62.18,3730.8,"New allocation","f794bf4bc0e5d2e384c0ac2f4a1b9914b39ed34d03ca70bd8a5a0b655dea72b8","","","","","","","","","","","","","","",""
"2025-09-15T15:09:00Z","Buy","NASDAQ:ENTG","Stock",40,88.99,3559.6,"New allocation","fad0ae35e757b17e99a1e2790250e014795d9aa406a1e0c43c95ccd2729d5a3d","","NASDAQ:TMDX","Stock",18,109.11,1963.98,"Increase allocation","2025-09-09T14:07:00Z","Buy","NASDAQ:TMDX","Stock",18,109.11,1963.98,"Increase allocation"
"2025-09-10T16:25:00Z","Buy","NASDAQ:QQQ","Short Stock",10,581.81,5818.099999999999,"Decrease precautionary hedge against potential NDX decline","857ce35bca39e964048621c15588f38f5d2b3438e8fb732b33a7dc4318e16822","","NASDAQ:TMDX","Stock",18,109.11,1963.98,"Increase allocation","2025-09-09T14:07:00Z","Buy","NASDAQ:TMDX","Stock",18,109.11,1963.98,"Increase allocation"
"2025-09-10T12:30:00Z","Sell","NASDAQ:APP","Stock",-10,560.15,-5601.5,"Decrease allocation","837d90196994fc2941f3396748799238535ea71fd6ff2775503e6cd5cdc736d5","","","","","","","","","","","","","","",""
"2025-09-09T14:07:00Z","Buy","NASDAQ:TMDX","Stock",18,109.11,1963.98,"Increase allocation","becc6c70feb8e48b6701a7b40b958efe326da2eaecca94bc34948d8d92f8d096","","","","","","","","","","","","","","",""
"2025-09-09T13:48:00Z","Buy","NASDAQ:NBIS","Stock",20,89.82,1796.3999999999999,"New allocation","68d9a8f9fe45a155cccb834d0240b27d57b6a0cc8137466569fae5d5ef6fb6bc","","","","","","","","","","","","","","",""
"2025-09-09T13:40:00Z","Sell","NASDAQ:VRNA","Stock",-62,106.28,-6589.36,"Closing allocation","a63ffc541ea95860708aa2bc587086d8b26450ac1fe93ed4ff279153c8083ab7","","","","","","","","","","","","","","",""
"2025-09-09T10:36:00Z","Buy","NYSE:FOUR","Stock",36,87.42,3147.12,"Increase allocation","ed5fbba4c7a29a727d70355e67bd6e5eb774aff77bf9f226bbc7b632d8387d78","","","","","","","","","","","","","","",""
"2025-07-28T10:30:00Z","Sell","NYSE:TSM","Stock",-5,232.51,-1162.55,"Closing allocation","802f95a09b2f8c02c834677c66b29204a834e1a8fb5d054d9f684bbd9566c7b0","","","","","","","","","","","","","","",""
"2025-09-02T23:59:00Z","Dividend","NYSE:HL","Stock",1167,0.00375,4.37625,"Dividend received","2314f8b19d62e674ccbac431f81a1730928237a2591f1da27eb7a163f67794c2","","","","","","","","","","","","","","",""
"2025-09-02T23:59:00Z","Dividend","NYSE:AEM","Stock",25,0.4,10,"Dividend received","39f130394c06a8950136fb49179cd8cab5c978bce8bb10180fda529944d2c7f3","","","","","","","","","","","","","","",""
"2025-08-29T17:52:00Z","Sell","NASDAQ:TMDX","Stock",-18,115.37,-2076.66,"Reduce allocation","cb0b9d2b8db44f04004fbcc638f3e43868b6dc6a9a4ecd7a9c9c4a24881efff9","","","","","","","","","","","","","","",""
"2025-08-29T17:54:00Z","Buy","NYSE:SA","Stock",120,17.33,2079.6,"Increase allocation","1e3282059a2f1264becc7e8ce22b010c3b5953a67fa7906b55b332d93d8b2c16","","","","","","","","","","","","","","",""
"2025-08-29T14:47:00Z","Buy","NYSE:SA","Stock",150,17.1,2565,"New allocation","e4e2cb159e0eb7872ecb9dd2aed5ffaffcff0294df9627f7d422967dc67c79a6","","","","","","","","","","","","","","",""
"2025-08-29T14:43:00Z","Sell","NASDAQ:TMDX","Stock",-23,114.13,-2624.99,"Reduce allocation","46aac8eb40b55a83b9dbbe470620fb7f60294213ee1e3b0a73cd120a6f29c5e1","","","","","","","","","","","","","","",""
"2025-08-27T11:17:00Z","Sell","NASDAQ:QQQ","Short Stock",-20,573.26,-11465.2,"Precautionary hedge against potential NDX decline","ba8d55ea4b37a0ec378ad9c82ec0b01c39967cb5cf1c5d557e54ea00d00ca56d","","","","","","","","","","","","","","",""
"2025-08-22T12:33:00Z","Buy","NYSE:TEVA","Stock",70,18.93,1325.1,"Increase allocation","f6e544cf695d76937f66f57eab77b18ba24df7a03b807081662ef48810748f5c","","","","","","","","","","","","","","",""
"2025-08-18T00:59:00Z","Dividend","NYSE:PAAS","Stock",287,0.12,34.44,"Dividend received","411a60814ea73f7021386968503d939307306c71be720c560a455bb0aef69d97","","","","","","","","","","","","","","",""
"2025-08-12T19:40:00Z","Buy","NYSE:FOUR","Stock",24,86.97,2087.2799999999997,"Increase allocation","60dc58301d036e24416196fd8915ee4ace75f049232210e71cd17cd1ba3b2d35","","","","","","","","","","","","","","",""
"2025-08-12T10:06:00Z","Buy","NYSE:FOUR","Stock",12,88,1056,"New allocation","9f678837cc8495fa4638a742f82c42d63fcdb605f79a0680d65ab4110be6129e","","","","","","","","","","","","","","",""
"2025-08-08T12:22:00Z","Buy","NASDAQ:APP","Stock",10,441.82,4418.2,"Increase allocation","dfce313807ad6dcca5a87e171378e404a8eba4ffb62a316456c6e9b9187eba10","","","","","","","","","","","","","","",""
"2025-08-08T11:52:00Z","Buy","NASDAQ:ALAB","Stock",12,172.59,2071.08,"Increase allocation","d5db5eb18376fc33997c84eec5e36e046c9eb1d07c8025765fc7ecfa9a05a963","","","","","","","","","","","","","","",""
"2025-08-07T08:40:00Z","Buy","NASDAQ:ALAB","Stock",6,175.14,1050.84,"New allocation","c35fa0c6d973d23a09bfd7867fde879d87c463bae458ff0f8ace59770c24cfe9","","","","","","","","","","","","","","",""
"2025-08-06T11:22:00Z","Sell","NASDAQ:STX","Stock",-30,151.77,-4553.1,"Decrease allocation","cf5771e60d2597cc9c7de03246583f4030095531fcde3b8f373222cb06b97645","","","","","","","","","","","","","","",""
"2025-08-06T10:34:00Z","Buy","NYSE:RDDT","Stock",6,197.67,1186.02,"New allocation","a336896dad0fdfb3a6b31ca7c51afbad8a41ab4aeba0cfdbc3d93bd86fe90f4e","","","","","","","","","","","","","","",""
"2025-07-30T13:45:00Z","Buy","NASDAQ:STX","Stock",30,142.14,4264.2,"Increase allocation","515f7f57e9d47cf11a0b6d62b91689653ff57465b80529ba4d893f572175d401","","","","","","","","","","","","","","",""
"2025-07-28T10:30:00Z","Buy","NYSE:TSM","Stock",5,241.58,1207.9,"New allocation","ca1f02a905b57ad8459353b7a1f5c04dc170dc41ea3ade4a7aa46552b84fd65a","","","","","","","","","","","","","","",""
"2025-07-24T18:36:00Z","Buy","NYSEAMERICAN:ORLA","Stock",200,10.25,2050,"Increase allocation","b0921b8b85bdc6ad5329887d9f5bf2d27cd7802dfadc0374fa9fd1d6a70c574f","","","","","","","","","","","","","","",""
"2025-07-17T11:47:00Z","Buy","NYSE:TEVA","Stock",115,16.07,1848.05,"Increase allocation","49bf0f8ecd771e05d2f6cc3a66faf062ad54ba80ee63d51cb2643dd7dd646c74","","","","","","","","","","","","","","",""
"2025-07-14T16:09:00Z","Buy","NASDAQ:APP","Stock",5,357.66,1788.3000000000002,"Increase allocation","c6b945d228425f9d4173e11e3db68a5788a179c132df3961f68c499a2f172f7b","","","","","","","","","","","","","","",""
"2025-07-14T15:54:00Z","Sell","NASDAQ:TEM","Stock",-86,58.22,-5006.92,"Closing allocation","f863ce3b1f6bbb28d7100221732591e2f3b0083407aea16a583880c0b5dfb866","","","","","","","","","","","","","","",""
"2025-07-09T17:08:00Z","Buy","NYSE:TEVA","Stock",60,16.8,1008,"Increase allocation","984a0b9d388e25eba84878442bc91b37e9bd3e40a405554c62627e82c00ba319","","","","","","","","","","","","","","",""
"2025-07-09T13:34:00Z","Buy","NYSEAMERICAN:ORLA","Stock",200,10.37,2074,"Increase allocation","7bc453da8eb14569f639a13c1a916f4cf0eba92fec8be5b4ddeb2485c2237e64","","","","","","","","","","","","","","",""
"2025-07-07T14:06:00Z","Buy","NASDAQ:INSM","Stock",10,95.96,959.5999999999999,"Increase allocation","a817040ac189951823ec03bc8f9a67fa09c29c2467fd49fdab43739d3f8f50d8","","","","","","","","","","","","","","",""
"2025-06-25T23:59:00Z","Dividend","NASDAQ:STX","Stock",60,0.72,43.199999999999996,"Dividend received","94627174f94fa6f4f4aa00f314a050057a7b0024e65251a7f91731d661c94a7c","","","","","","","","","","","","","","",""
"2025-06-24T19:16:00Z","Buy","NYSEAMERICAN:ORLA","Stock",222,10.17,2257.74,"Increase allocation","69ca8e64ae37254be6fa877b4e85e3dc02c331ebe01b40d5616266a153021fe9","","","","","","","","","","","","","","",""
"2025-06-23T19:56:00Z","Buy","NYSE:UBER","Stock",51,85.17,4343.67,"Increase allocation","6c4f7f12352853081cc2f3054a3434943da8d66b9a7589cde8f5f4d1912902a5","","","","","","","","","","","","","","",""
"2025-06-23T19:53:00Z","Buy","NASDAQ:CHYM","Stock",35,29.93,1047.55,"New allocation","3e3c9dda121a73bf8aa3d5172296c98b6f215e8aff2e2c4b671391f82f4e8243","","","","","","","","","","","","","","",""
"2025-06-23T16:20:00Z","Buy","NASDAQ:HTZ","Stock",300,6.09,1827,"New allocation","2079d23b39bde0058f6bd12c4b63b502c2f1f7bc7835ed9f96d5e58e064dcb43","","","","","","","","","","","","","","",""
"2025-06-18T16:00:00Z","Dividend","NYSE:VST","Stock",43,0.225,9.675,"Dividend received","f0110032520496d13515f471b6b3b2979627dc95b722d471c000b414fdcb5a05","","","","","","","","","","","","","","",""
"2025-06-10T14:37:00Z","Sell","NASDAQ:WWD","Stock",-2,233.5,-467,"Rebalancing","bc3308befea5e805beeb0c37ab526fb4f4ce5a1dabd4d30ccb56a86ac2163c7f","","","","","","","","","","","","","","",""
"2025-06-02T16:20:00Z","Buy","NASDAQ:TMDX","Stock",55,124.88,6868.4,"Initial allocation","67d7822fbc5c1f231758f3205ba1f1d3cdff2ba37d7bd9eb5193438ae93f75bb","","","","","","","","","","","","","","",""
"2025-06-02T14:45:00Z","Buy","NASDAQ:TEM","Stock",86,62.66,5388.759999999999,"Initial allocation","28268a11851f0d5782f860a64165c865310712b5b90079bcc773cb66c9cb91c5","","","","","","","","","","","","","","",""
"2025-06-02T14:36:00Z","Buy","NYSE:SE","Stock",44,162.04,7129.759999999999,"Initial allocation","d92fc0b27975adbc6895f8dff87b668ee29c2ae29852f4dd4bd0c30cc7f08a32","","","","","","","","","","","","","","",""
"2025-06-02T14:34:00Z","Buy","NYSE:PAAS","Stock",287,26.12,7496.4400000000005,"Initial allocation","ade8fdc01d2d509b5258fc4b77950dfae384301d30659507668c482169f562af","","","","","","","","","","","","","","",""
"2025-06-02T15:03:00Z","Buy","NASDAQ:STX","Stock",60,118.44,7106.4,"Initial allocation","0b440c05840c37523dfef5fb2b6300fc5f916ab3dd80d6bf3a4f6907bbb21871","","","","","","","","","","","","","","",""
"2025-06-02T14:41:00Z","Buy","NASDAQ:MELI","Stock",3,2542.77,7628.3099999999995,"Initial allocation","0cf2cfe4962bf6b1e00dfa901b49e5eab060387fe08107e9d70bb1343837eb9a","","","","","","","","","","","","","","",""
"2025-06-02T16:01:00Z","Buy","NYSE:VST","Stock",43,168.68,7253.240000000001,"Initial allocation","50f05a8ff8b03b0d3c6c00e1ce8f56fbe812dc39633b6f457dbe3fe53c7b7bd1","","","","","","","","","","","","","","",""
"2025-06-02T14:01:00Z","Buy","NYSE:HL","Stock",1167,5.61,6546.870000000001,"Initial allocation","5dbdf3019e09dbc9612c54d667cb70328e5c9d833ca75101867048c6229b2340","","","","","","","","","","","","","","",""
"2025-06-02T14:31:00Z","Buy","NASDAQ:VRNA","Stock",62,82.71,5128.0199999999995,"Initial allocation","4c078cbe66806b2e434e083fe278d69ce33e7d81455dd060f384bc57c71f233d","","","","","","","","","","","","","","",""
"2025-06-02T16:33:00Z","Buy","NYSE:UBER","Stock",59,83.96,4953.639999999999,"Initial allocation","37698739edd036090a9114c70b0fc3fc5671f8a09322093bee7d2522343cee77","","","","","","","","","","","","","","",""
"2025-06-02T14:32:00Z","Buy","NASDAQ:NTRA","Stock",25,157.85,3946.25,"Initial allocation","a5ba731c89016d9cae970453a6ee4a4869f04f8cd01f4a5fc2e1d3edc8fad431","","","","","","","","","","","","","","",""
"2025-06-02T14:07:00Z","Buy","NYSEAMERICAN:ORLA","Stock",378,11.22,4241.16,"Initial allocation","472eea2b967858dd26ade992347df3b50c7a01ca2f58dcd65933eb6c42bc67ad","","","","","","","","","","","","","","",""
"2025-06-02T14:39:00Z","Buy","NASDAQ:PRCH","Stock",329,9.09,2990.61,"Initial allocation","c6105fb7a2823f57f8e6c7f3fc9c95b476e097968599f4b673331fad3509aee9","","","","","","","","","","","","","","",""
"2025-06-02T16:11:00Z","Buy","NYSE:SMR","Stock",93,31.93,2969.49,"Initial allocation","a7fb52021894c57334021a39c1a315ca33c8ad1cfbd9419c56e74a04be4e372c","","","","","","","","","","","","","","",""
