"DateTime","Txn#","Action","Asset","AssetType","Segment","Quantity","Price","NotionalValue","Status","StatusNote","Rationale","RowHash"
"2025-11-28T10:36:00Z",1150,"Buy","NYSE:HL","Stock","Core",151,16.27,2456.77,"","","Rebalance to target allocation","ad5c18d86e80def0cab8753b5be427d83647601fa47725601e972c9a7b7e3a5b"
"2025-11-28T10:36:00Z",1149,"Buy","NYSE:TEVA","Stock","Stability",52,26.45,1375.3999999999999,"","","Increase allocation","e5736df9ab3573cde7710bf6b5059eb05a18bef5e3c2aac7e1f8b9f9bd63f057"
"2025-11-26T19:07:00Z",1148,"Buy","NYSE:TEVA","Stock","Stability",52,26.36,1370.72,"","","Increase allocation","8054688444a2b0b301f8acdd784de7c23d0cb8401c0c3ac0cac74b7f47d84a3f"
"2025-11-25T09:59:00Z",1147,"Buy","NASDAQ:QQQ","Short Stock","",12,603.49,7241.88,"","","Decrease precautionary hedge","b9fa5ca144eb7ad028c64efc3a559e32e903cb732c880334d51a48acb1ba7cf3"
"2025-11-25T09:50:00Z",1146,"Buy","NYSEARCA:GDX","Short Stock","",70,77.13,5399.099999999999,"","","Close precautionary hedge","6f9d6e126f067f92a89f446bb83313f16ffc1f9cb686b956e14d94c0291bf07b"
"2025-11-24T17:04:00Z",1145,"Sell","NASDAQ:STX","Stock","Growth",-8,255.41,-2043.28,"","","Decrease Allocation","cd70d273046d4fc8555d564ffeb63e2751127dbcae5698d5e0a4d62675c40b7e"
"2025-11-24T13:31:00Z",1144,"Buy","NASDAQ:STX","Stock","Growth",8,241.19,1929.52,"","","Increase allocation","51d178a07de0042c71c20ab594d12325f8624a8923fa438c0059278c396bbeef"
"2025-11-24T13:31:00Z",1143,"Buy","NASDAQ:STX","Stock","Growth",8,241.19,1929.52,"","","Increase allocation","51d178a07de0042c71c20ab594d12325f8624a8923fa438c0059278c396bbeef"
"2025-11-24T13:26:00Z",1142,"Buy","NASDAQ:APP","Stock","Growth",8,526.2,4209.6,"","","Increase allocation","a6f664a0238003f80be8887faca8bcd1fcba16e6de35a1fc0708de1cfcc75966"
"2025-11-24T13:13:00Z",1141,"Buy","NASDAQ:AVGO","Stock","Stability",14,345.85,4841.900000000001,"","","New allocation","150bb9f8a1d40a8a01cbee76a4018f9507ad937644ddffe2b653259d63b682b4"
"2025-11-24T12:55:00Z",1140,"Buy","NASDAQ:MU","Stock","Stability",26,212.52,5525.52,"","","New allocation","92f897b52c5ef0598b0f03ea8229c60352c9c37794bcd29748cb5df2727ecc6f"
"2025-11-21T16:09:00Z",1139,"Buy","NASDAQ:TMDX","Stock","Growth",10,126.62,1266.2,"","Txn# 1138 timestamp corrected","Increase allocation","854b394dfcf8fdc07f08c473a4a23f8926b2ee8ee8878ccf092cc977fd096ccf"
"2025-11-21T15609:00Z",1138,"Buy","NASDAQ:TMDX","Stock","Growth",10,126.62,1266.2,"Corrected","Txn#1139 Timestamp entered in wrong format; corrected to ISO 8601 UTC (yyyy-MM-ddTHH:mm:ssZ).","Increase allocation","d2d4d20d12368df8b17aff0f2ed4cc39e79c1ddecabfe7e177179d4191a6ddb6"
"2025-11-21T15:55:00Z",1137,"Sell","NYSE:SE","Stock","Stability",-33,128.68,-4246.4400000000005,"","","Decrease Allocation","295d08e82eb2075c2980fae6f80a6a6cd94cc3fc71aac58a99e1efb3cefd9d88"
"2025-11-21T15:39:00Z",1136,"Buy","NASDAQ:CEG","Stock","Stability",4,332.05,1328.2,"","","Increase allocation","794a749bfc3e89914902e8b63048952aa404b897323d25c126f5e6301f1e86d3"
"2025-11-21T15:36:00Z",1135,"Sell","NYSE:SA","Stock","Core",-170,23.77,-4040.9,"","","Decrease Allocation","9f3f74e17b4212ec929d7771bc1060a1789af10a83dc442d753175d747c71d9a"
"2025-11-21T15:33:00Z",1134,"Sell","NYSE:AEM","Stock","Core",-20,159,-3180,"","","Decrease Allocation","29c8eb4e8dbf2b4b5b0b523799a146df763335939b4e866e6acc3d8d1b38c418"
"2025-11-21T15:31:00Z",1133,"Sell","NYSEAMERICAN:ORLA","Stock","Core",-500,11.73,-5865,"","","Decrease Allocation","466bb28910aaefbaab080c4790481a34cfc5323670268b5160e130da91643aba"
"2025-11-21T15:29:00Z",1132,"Sell","NYSE:TEVA","Stock","Stability",-251,24.17,-6066.67,"","","Decrease Allocation","e95709949c7b53b98b9e946f2ec11e798da352f4100fa2d27df5bb80796ab910"
"2025-11-21T14:52:00Z",1131,"Sell","NASDAQ:DAX","Short Stock","",-145,42.43,-6152.35,"","","Speculative Bet on Market Decline","bac967cf6431749f4a058d3b478bc26ff2c6e05da3d0ce4be909ced850b3d9fd"
"2025-11-21T13:11:00Z",1130,"Sell","NYSEARCA:GDX","Short Stock","",-70,73.15,-5120.5,"","","Precautionary hedge","2bc9017dbe054ac2547b03ec7c5ad2739bb835b8d223bd6ee921f128a6db27a2"
"2025-11-21T12:00:00Z",1128,"Sell","NASDAQ:NTRA","Stock","Growth",-35,225,-7875,"","","Decrease Allocation","16bdc96a68c0802d585fbe01496f673a4b6915e355f96a3692634fcd0fb8fb54"
"2025-11-21T09:32:00Z",1127,"Sell","NASDAQ:QQQ","Short Stock","",-24,585.59,-14054.16,"","","Precautionary hedge","996d13602841786749cddcc0179cdfc28347ff35e805fca3de5a65912c5944a3"
